編號,品牌通路,品牌,系列中文名稱,系列英文名稱,中文品名,英文品名,中文簡介,英文簡介,用途,品項,功效,上市日期,規格,販售國家,停產國家,是否限量,產品別名,建立時間,修改時間,是否為口碑之星,是否在前台隱藏,精選文章數,是否上過首頁推薦,產品圖,圖1,圖2,圖3,圖4,圖5,
11107,開架,EQUILIBRA 義貝拉,臉部保養系列,,天然蘆薈抗老精華液,Aloe Facial Serum Anti-Aging,擁有不同等級的玻尿酸分子，柔軟光滑容易吸收，富含天然蘆薈，葡萄籽油，能使臉部肌膚光滑明亮。,,保養品,"精華液,","保濕,滋潤,",,"容量:30ml:NT999,","TW, MY",,N,"天然蘆薈抗老精華液,天然蘆薈抗老精華液 義貝拉",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480139707-3351436698.jpg,,,,,,
11110,開架,Jericho,臉部保養系列,,死海回春精華液,Mineral Serum,有效緊緻活化肌膚，長期使用能修護肌膚，改善膚質，使肌膚恢復活力光彩。,,保養品,"精華液,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,",,"容量:30ml:NT1800,","TW, MY",,N,"死海回春精華液,死海回春精華液 jericho",2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1480139808-3540832842.jpg,,,,,,
11113,開架,PERLABELLA 義貝拉,,,Q10臉部珍珠膠囊,Q10 Anti-Aging Face PureDose Pearls,能夠精確的針對皺紋及受損區域，運用高濃度的精華液，傳遞給肌膚的細胞，進而達到抗老化的效果，各種膚質都適用。,,保養品,"精華液,","保濕,滋潤,緊實,拉提,修護,",,"容量:7顆:NT350,","TW, MY",,N,"Q10臉部珍珠膠囊,Q10臉部珍珠膠囊 義貝拉",2016/11/26,,N,N,2,N,https://pic.pimg.tw/styleme/1480139932-2486203927.jpg,,,,,,
11119,開架,AVALON,臉部保養系列,,維他命C亮白喚膚精華液,Intense Defense with Vitamin C FACIAL SERUM,有機檸檬、白茶萃取與維他命C能延緩肌膚常受陽光影響的光老化現象，維持肌膚白皙Q彈，預防和改善暗沈問題，均勻膚色。,,保養品,"精華液,","保濕,滋潤,美白,透亮,均勻膚色,淡斑,提升光澤,平滑膚觸,",,"容量:30ml:NT850,","TW, MY",,N,"維他命C亮白喚膚精華液,維他命C亮白喚膚精華液 avalon",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480140205-417175662.jpg,,,,,,
11122,開架,CARMAX 小蜜媞,唇部保養系列,,防曬修護唇膏SPF 15 戀戀桃花,,全新推出潤色防曬修護唇膏，添加滿滿維他命E、蘆薈萃取液與乳油木果油等保濕因子，能針對乾裂、脫皮的唇部，達到保濕、潤澤、深層修護的效果，讓妳輕鬆擁有自然柔潤的亮麗雙唇,,保養品,"唇部保養,","滋潤,潤色,",,"容量:2g:NT179,","TW, MY",,N,"CARMEX 防曬修護唇膏SPF 15 戀戀桃花,小蜜媞 防曬修護唇膏SPF 15 戀戀桃花,防曬修護唇膏SPF 15 戀戀桃花",2016/11/26,,N,Y,,N,https://pic.pimg.tw/styleme/1480140550-551411049.jpg,https://pic.pimg.tw/styleme/1481090128-315461790.jpg,,,,,
11125,開架,Hupanique 涵沛,臉部保養系列,,蘭鑽級甦活霜,Revitalizing Hypan-Enzyme Cream,,,保養品,"乳霜,","保濕,滋潤,抗老,緊實,拉提,修護,",,"容量:30ml:NT420,","TW, MY",,N,"蘭鑽級甦活霜,蘭鑽級甦活霜 涵沛",2016/11/26,,N,N,2,N,https://pic.pimg.tw/styleme/1480140564-1866874242.jpg,,,,,,
11128,開架,Hupanique 涵沛,臉部保養系列,,,Bee Venom Magic Cream,全世界僅有3%的西洋黃金蜂，每1萬隻黃金蜂雌蜂僅能萃取出1ml(Bee Venom) 蜂萃胜(月太)，能深入肌膚深層，同時增進肌膚彈性及緊實度。,,保養品,"乳霜,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,",,"容量:30ml:NT750,","TW, MY",,N,,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480140671-1412652120.jpg,,,,,,
11131,開架,Pure Beauty,,,,Youth Restore Life & Nourish Repair Night Cream,,,保養品,"乳霜,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,",,"容量:50ml:NT528,","TW, MY",,N,,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480140858-2408558523.jpg,,,,,,
11134,開架,MISSHA,臉部保養系列,,逆轉時光極效夜間活膚安瓶,Time Revolution Night Repair New Science Acvitaor Ampoule,三重科技，還原肌膚能量，後續保養成效再升級。,,保養品,"精華液,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,",,"容量:50ml:NT1170,","TW, MY",,N,"逆轉時光極效夜間活膚安瓶,逆轉時光極效夜間活膚安瓶 missha",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480140995-2687566692.jpg,,,,,,
11137,開架,Collagen,臉部保養系列,,喚白新生精華,White Regeneration Serum,幫助提升肌膚明亮度，改善暗沉，均勻膚色，使肌膚晶亮光澤。,,保養品,"精華液,","保濕,滋潤,美白,透亮,均勻膚色,淡斑,提升光澤,平滑膚觸,抗氧化,",,"容量:30ml:NT550,","TW, MY",,N,"喚白新生精華,喚白新生精華 collagen",2016/11/26,,N,N,2,N,https://pic.pimg.tw/styleme/1480141298-437791762.jpg,,,,,,
11140,開架,PALMER'S 帕瑪氏,臉部保養系列,,深透白淡斑CBB霜,White & Even CBB Cream,從肌膚底層進行修護，延緩老化的加速，有效淡化斑點，修護瑕疵，勻亮膚色，並結合了天然礦物粉色，提供完美理想的修復，以及立即性的潤色遮瑕效果，質地清爽無負擔。,,保養品,"防曬隔離,","保濕,滋潤,美白,透亮,均勻膚色,提升光澤,平滑膚觸,防曬,",,"容量:30ml:NT990,","TW, MY",,N,"深透白淡斑CBB霜,深透白淡斑CBB霜 帕瑪氏",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480141453-2606980959.jpg,,,,,,
11143,開架,MAYBELLINE 媚比琳,唇彩系列,,寶貝電光護唇膏 粉紅風暴,Baby Lips Electro,添加乳木果油及維他命Ｅ，能長效保持雙唇滋潤不乾燥，並柔嫩雙唇與抗老化，改善及預防唇紋，主打精華級8小時長效保濕。特有的電光漾色因子，擋不住的亮麗動人。,,保養品,"唇部保養,","滋潤,修護,潤色,",,"容量:3.5g:NT109,","TW, MY",,N,"Maybelline 寶貝電光護唇膏 粉紅風暴,媚比琳 寶貝電光護唇膏 粉紅風暴,寶貝電光護唇膏 粉紅風暴",2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1480140921-1021489440.jpg,,,,,,
11146,開架,PALMER'S 帕瑪氏,臉部保養系列,,全效夜間抗老精華露,Cocoa Butter Formula With Vitamin E Rejuvenating Facial Serum,搭配清爽輕盈的質地，在接觸肌膚的瞬間，即能迅速將各項有效的抗老成分，滲透進入肌膚深層，於各種有效成份的多重協同作用之中，對開始老化的肌膚進行深度的修護和活力補給，即時恢復青春能量，阻擋、延緩老化的開始。,,保養品,"精華液,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,",,"容量:30ml:NT1199,","TW, MY",,N,"全效夜間抗老精華露,全效夜間抗老精華露  帕瑪氏",2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1480141549-447806659.jpg,,,,,,
11149,開架,Collagen,臉部保養系列,,膠原水凝保濕密集滋養精華,Hydro Blance Intensive Serum,幫助肌膚保持油水平衡，提升肌膚水潤度，鎖水不油膩；同時集中補水滋養，使肌膚緊緻透亮。精華液幫助增強肌膚彈性，使肌膚更健康亮麗，持久水潤。,,保養品,"精華液,","保濕,滋潤,",,"容量:30ml:NT580,","TW, MY",,N,"膠原水凝保濕密集滋養精華,膠原水凝保濕密集滋養精華  collagen",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480141660-148099162.jpg,,,,,,
11152,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木日霜,Active Day Cream,滋潤、滋養肌膚。,,保養品,"乳霜,","保濕,滋潤,",,"容量:100ml:NT2480,","TW, MY",,N,巴黎乳油木日霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480141810-2777774358.jpg,,,,,,
11155,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木抗皺精華日霜,Shea Butter Essential Day Care,潤澤、保濕肌膚，同時抗皺。,,保養品,"乳霜,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,",,"容量:100ml:NT2680,","TW, MY",,N,巴黎乳油木抗皺精華日霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480141944-1083466254.jpg,,,,,,
11158,開架,webner 葦柏納,臉部保養系列,,,Ultima Anti-Aging Serum,"德國原裝進口瑞士蘋果：緊緻肌膚
法國葡萄：提升肌膚的保護力
阿爾卑斯玫瑰：賦活肌膚",,保養品,"精華液,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,",,"容量:50ml:NT4200,","TW, MY",,N,,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480142164-2364276473.jpg,,,,,,
11161,專櫃,,超能紅石榴微循環系列,,超能紅石榴微循環精華,Nutritious Vitality8 Radiant Energy Lotion Intense,富含豐富抗氧化物與礦物質，有效排除外來侵襲因子並掃除疲備暗沉，補充長效保濕水分。含豐富極冷萃紅石榴超級莓果精華，以專利技術全面開啟肌膚吸收後續保養成份的準備機制，肌膚呈現充滿活力的亮澤感與柔嫩觸感。,,保養品,"化妝水,","保濕,滋潤,緊實,修護,抗氧化,",,"容量:200ml:NT2000:RM0,","TW, MY",,N,,2016/11/26,,N,N,3,N,https://pic.pimg.tw/styleme/1480142359-3512928653.jpg,,,,,,
11164,專櫃,,超能紅石榴微循環系列,,超能紅石榴微循環精萃油,Nutritious Radiant Vitality Essence Oil,質地滑順且極易於吸收，將活水能量滿滿注入肌膚底層，強化肌膚防禦機能，深度喚醒肌膚光采。,,保養品,"精華油,","保濕,滋潤,抗老,拉提,抗皺,修護,抗氧化,",,"容量:30ml:NT2650:RM0,","TW, MY",,N,,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480142489-3220122403.jpg,,,,,,
11167,開架,THE FACE SHOP 菲詩小舖,臉部保養系列,,集水透白雲朵霜,Blanclouding White Moisture Cream,打造透亮白皙雲朵肌讓肌膚就像雲朵般澎彈白潤保濕+透亮白皙。,,保養品,"乳霜,","保濕,滋潤,美白,透亮,均勻膚色,提升光澤,平滑膚觸,",,"容量:50ml:NT1050,","TW, MY",,N,"集水透白雲朵霜,集水透白雲朵霜 thefaceshop",2016/11/26,,N,N,8,N,https://pic.pimg.tw/styleme/1480143272-3474491012.jpg,,,,,,
11170,專櫃,ALBION 艾倫比亞,活潤透白系列,,活潤透白阻黑精華液,Exage White,明亮純淨聚合物能包覆肌膚表面，展現明亮且紋理細緻的柔嫩肌。,,保養品,,"保濕,滋潤,美白,透亮,均勻膚色,淡斑,提升光澤,平滑膚觸,抗氧化,",,"容量:40ml:NT1980,",,"TW, MY, ",N,"活潤透白阻黑精華液,活潤透白阻黑精華液 albion",2016/11/26,,N,N,7,N,https://pic.pimg.tw/styleme/1480143467-3280506061.jpg,,,,,,
11173,專櫃,,超水妍舒緩保濕系列,,超水妍舒緩保濕精華,Hydrazen Moisturiser Gel Essence,透過全新充滿舒緩、幸福感的質地與香氛，將肌膚從壓力、污染的傷害中解救出來，為肌膚重新注入快樂的泉源！,,保養品,"精華液,","保濕,滋潤,",,"容量:30ml:NT2500,","TW, MY",,N,"超水妍舒緩保濕精華,超水妍舒緩保濕精華  lancome",2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1480143601-2050716408.jpg,,,,,,
11176,專櫃,ALBION 艾倫比亞,其他,,黃金凝萃精華油,Herbal Oil Gold,"1.黃金荷荷芭油，水分保持力高，能使肌膚平滑且散發光澤。
2.琉璃苣油，能快速改善乾燥、消除肌膚問題，使肌膚更加健康。
3.輕盈濃厚的質地，柔順的滲透，使用後無黏膩感，肌膚呈現滋潤光滑。
4.多種草本植物萃取，其香調具有放鬆效果，可減緩身心的緊張與壓力。
5.從頭到腳皆可使用，不論是深層修護還是基礎保養，只要一瓶就搞定。
6.特殊瓶口設計，讓油可以一滴滴流出來，避免流出過量。
7.精華型油脂，即使不按摩也能被肌膚吸收。",,保養品,"精華油,","保濕,滋潤,抗老,緊實,拉提,抗皺,修護,改善細紋,透亮,",,"容量:40ml:NT1980:RM0,","TW, MY",,N,"黃金凝萃精華油,黃金凝萃精華油 albion",2016/11/26,,N,N,3,N,https://pic.pimg.tw/styleme/1480143754-3899270959.jpg,,,,,,
11179,專櫃,ALBION 艾倫比亞,活潤透白系列,,活潤透白28日煥顏精華,Exage White Whiteing C Chager,集中補給肌膚維他命C，有效淨白肌膚，抑制黑色素生成。保濕成分給予整個角質層水嫩濕潤，易滲透至肌膚，調理為光滑細緻的狀態，使用後能感受到光滑細緻明亮。,,保養品,"精華液,","保濕,滋潤,美白,透亮,均勻膚色,淡斑,提升光澤,平滑膚觸,",2017/4/1,"容量:1mlX28瓶:NT2380:RM0,","TW, MY",,N,"ALBION 活潤透白28日煥顏精華,活潤透白28日煥顏精華,活潤透白28日煥顏精華 albion,艾倫比亞 活潤透白28日煥顏精華",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1489571815-1263554565.png,,,,,,
11182,開架,Freshel 膚蕊,底妝系列,,美肌淨透BB霜（零毛孔）SPF43 PA++,Skincare BB Cream UV,,,彩妝品,"BB霜,","保濕,修飾毛孔,長效持妝,防曬,滋潤,",,"容量:50g:NT390:RM0,","TW, MY",,N,"Freshel 美肌淨透BB霜（零毛孔）,美肌淨透BB霜（零毛孔）,膚蕊 美肌淨透BB霜（零毛孔）",2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1488466250-3975403959.png,https://pic.pimg.tw/styleme/1481526982-3816534908.jpg,,,,,
11185,專櫃,ALBION 艾倫比亞,活潤系列,,活潤肌源水精華,Exage Vitalgenerate,多種美肌成份，相乘效果讓肌膚發揮高活化能力，打造充滿水潤與活力的肌膚。水潤輕透的基底，以高滲透力讓保濕效果出色的保護膜持續給予肌膚表面與角質間隙持久的水潤力。,,保養品,"精華液,","保濕,滋潤,",,"容量:40ml:NT1980:RM0,","TW, MY",,N,"活潤肌源水精華,活潤肌源水精華  albion",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480144041-3628935831.jpg,,,,,,
11188,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木抗皺精華晚霜,Shea Butter Essential Night Care,於夜間保濕潤澤肌膚。,,保養品,"乳霜,","保濕,滋潤,",,"容量:100ml:NT2880:RM0,","TW, MY",,N,巴黎乳油木抗皺精華晚霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480144657-514748573.jpg,,,,,,
11191,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木晚霜,Restorative Night Cream,於夜晚時間，保濕潤澤肌膚。,,保養品,"乳霜,","保濕,滋潤,",,"容量:100ml:NT2680:RM0,","TW, MY",,N,巴黎乳油木晚霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480144760-3417006257.jpg,,,,,,
11194,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,100%巴黎乳油木果油,100%Pure Shea Butter,溫下為固態膏狀。取適量於手上，先稍搓熱直到顆粒感消失，像奶油般的乳油木會瞬間融化，再輕按壓於肌膚至完全吸收。細緻不油膩，不造成肌膚負擔，薄薄一層，保濕效果就非常好。,,保養品,"乳霜,","保濕,滋潤,",,"容量:20g:NT1150:RM0,","TW, MY",,N,100%巴黎乳油木果油,2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1480144859-3113267788.jpg,,,,,,
11197,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木皇家鳶尾護手霜,Fleur-De-Lis Shea Hand Cream,20%天然乳油木成分與甜杏仁油萃取成分，富含肌膚必須的多種脂肪酸、維生素及植物固醇，能潤澤手部肌膚呈現亮麗光澤，且質地細緻不油膩可迅速吸收，形成肌膚鎖水的天然保護膜，給予手部肌膚所需的滋潤保濕。,,美體產品,"手部保養,","保濕,滋潤,",,"容量:30ml:NT490:RM0,","TW, MY",,N,巴黎乳油木皇家鳶尾護手霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480144963-2882229886.jpg,,,,,,
11200,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木優雅梔子護手霜,Gardenia Shea Hand Cream,添加法式精緻的天然梔子花香氛萃取，讓你時刻握有手心裡的優雅時尚氣息。,,美體產品,"手部保養,","保濕,滋潤,",,"容量:75ml:NT990:RM0,","TW, MY",,N,巴黎乳油木優雅梔子護手霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480145064-137375833.jpg,,,,,,
11203,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木浪漫茉莉護手霜,Jasmine Shea Hand Cream,添加法式精緻的天然茉莉花香氛萃取，讓你時刻握有手心裡的浪漫氣息。,,美體產品,"手部保養,","保濕,滋潤,",,"容量:30ml:NT490:RM0,","TW, MY",,N,巴黎乳油木浪漫茉莉護手霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480145195-2031419474.jpg,,,,,,
11206,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木溫和去角質面膜,Extra-Gentle Face Buff,溫和去除臉部老廢角質。,,保養品,"臉部去角質,","清潔,去角質,深層清潔,",,"容量:100ml:NT1750:RM0,","TW, MY",,N,巴黎乳油木溫和去角質面膜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480145289-1729266500.jpg,,,,,,
11209,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木牛奶乳霜護手霜,Ultra-Rich Hand Cream,取適量按摩於手部肌膚，保濕滋潤。,,美體產品,"手部保養,","保濕,",,"容量:30ml:NT490:RM0,","TW, MY",,N,巴黎乳油木牛奶乳霜護手霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480145377-4058956566.jpg,,,,,,
11212,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木潤唇膏,Ultra-Rich Lip Blam,先稍搓熱直到顆粒感消失，像奶油般的乳油木會瞬間融化，再輕按壓於肌膚至完全吸收。細緻不油膩，不造成肌膚負擔，薄薄一層，保濕效果就非常好。,,保養品,"唇部保養,","保濕,滋潤,抗老,",,"容量:20g:NT890:RM0,","TW, MY",,N,巴黎乳油木 潤唇膏,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1486022219-3754338607.jpg,,,,,,
11215,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木愛戀玫瑰身體霜,Rose Body Cream,巴黎乳油木於10周年限量紀念，因而挑出法國最具浪漫代表的玫瑰，巧妙添加浪漫玫瑰香氛氣息，營造出獨樹一格的法式愛戀。,,美體產品,"身體保養,","保濕,滋潤,香氛,",,"容量:165ml:NT1690:RM0,","TW, MY",,N,巴黎乳油木愛戀玫瑰身體霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480145634-2491914824.jpg,,,,,,
11218,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木檸檬馬鞭草皂,Shea Soap Perfume Lemon Verbena,清潔身體肌膚。,,美體產品,"身體清潔,","深層清潔,香氛,",,"容量:100g:NT450:RM0,","TW, MY",,N,巴黎乳油木檸檬馬鞭草皂,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1486022150-1532485414.jpg,,,,,,
11221,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木薰衣草護手霜,Lavender＆Shea Light Hand Cream,潤澤、保濕雙手肌膚。,,美體產品,"手部保養,","保濕,滋潤,香氛,",,"容量:30ml:NT490:RM0,","TW, MY",,N,巴黎乳油木薰衣草護手霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480145944-4127695855.jpg,,,,,,
11224,開架,Beautymate 美肌之誌,底妝系列,,超智能柔焦防曬CC霜 SPF50,Intelligent Soft CC Cream SPF50+,高防曬係數，長效隔離肌膚受到UV光線傷害，質地清爽、不阻塞毛孔，礦物微粒可自動調節膚色，讓肌膚呈現最自然色澤。,,彩妝品,"CC霜,","清爽,修正膚色,修飾毛孔,防曬,",,"容量:30g:NT399:RM0,","TW, MY",,N,"Beautymate 超智能柔焦防曬CC霜,美肌之誌 超智能柔焦防曬CC霜,超智能柔焦防曬CC霜",2016/11/26,,N,N,18,N,https://pic.pimg.tw/styleme/1488467238-322648182.png,https://pic.pimg.tw/styleme/1481527003-1978889574.jpg,,,,,
11227,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木牛奶乳霜身體霜,Extra-Gentle Body Cream,保濕、潤澤身體肌膚。,,美體產品,"身體保養,","保濕,滋潤,",,"容量:165ml:NT1690:RM0,","TW, MY",,N,巴黎乳油木牛奶乳霜身體霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480146032-2628041760.jpg,,,,,,
11230,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木蜂蜜杏仁身體乳,Extra-Gentle Body Cream-Alomond & Honey,保濕、潤澤身體肌膚。,,美體產品,"身體保養,","保濕,滋潤,",,"容量:500ml:NT1690:RM0,","TW, MY",,N,巴黎乳油木蜂蜜杏仁身體乳,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480146385-1215323211.jpg,,,,,,
11233,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木牛奶乳霜皂,Shea Soap Perfume Milk Cream,清潔同時保濕身體肌膚。,,美體產品,"身體清潔,","深層清潔,保濕,滋潤,",,"容量:100g:NT450:RM0,","TW, MY",,N,巴黎乳油木牛奶乳霜皂,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480146498-1525923149.jpg,,,,,,
11236,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木雙效洗髮精,Day Hair Shampoo,清潔，同時保濕頭髮。,,美髮產品,"洗髮品,","保濕,清潔,滋潤,",,"容量:250ml:NT1100:RM0,","TW, MY",,N,巴黎乳油木雙效洗髮精,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480146571-218626407.jpg,,,,,,
11239,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木經典潤唇蜜,Lip Gloss,內含乳油木成分，十分滋潤，讓雙唇Q彈又水亮。,,保養品,"唇部保養,","保濕,滋潤,透亮,均勻膚色,",,"容量:15ml:NT490:RM0,","TW, MY",,N,巴黎乳油木經典潤唇蜜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1486022074-2471518460.jpg,https://pic.pimg.tw/styleme/1486022036-3375660014.jpg,,,,,
11242,開架,NACOLA,底妝系列,,超水潤光感美肌BB霜,Micro Essence Skin Flawless BB Cream,遮瑕、隔離、水潤、修護，一抹呈現自然系透亮美肌，不厚重、不浮粉，清爽控油，長時間完美持妝。,,彩妝品,"BB霜,","保濕,清爽,控油,長效持妝,遮瑕,薄透,",,"容量:30g:NT480:RM0,","TW, MY",,N,"NACOLA 超水潤光感美肌BB霜,超水潤光感美肌BB霜",2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1488467537-982516462.jpg,https://pic.pimg.tw/styleme/1481527018-1396304005.jpg,,,,,
11245,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木乳霜面膜,Moisturizing Face Mask,滋潤型面膜霜，短時間密集給予肌膚水分。,,保養品,"保養面膜,","保濕,滋潤,",,"容量:100ml:NT1850:RM0,","TW, MY",,N,巴黎乳油木乳霜面膜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480146895-2872825693.jpg,,,,,,
11248,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木牛奶乳霜沐浴乳,Extra-Gentle Shower Milk Cream,清潔，保濕肌膚。,,美體產品,"身體清潔,","深層清潔,保濕,滋潤,",,"容量:250ml:NT1100:RM0,","TW, MY",,N,巴黎乳油木牛奶乳霜沐浴乳,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480147169-4276809408.jpg,,,,,,
11251,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木潤足霜,Foot Massage Cream,保濕、潤澤同時舒緩腿部肌膚。,,美體產品,"腿足保養,","保濕,滋潤,舒緩,香氛,",,"容量:75ml:NT990:RM0,","TW, MY",,N,巴黎乳油木潤足霜,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480147381-2062799327.jpg,,,,,,
11254,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木薰衣草身體乳,Extra-Gentle Body Cream Local Lavender,薰衣草香，保濕潤澤、舒緩身體肌膚。,,美體產品,"身體保養,","保濕,滋潤,舒緩,香氛,",,"容量:500ml:NT1690:RM0,","TW, MY",,N,巴黎乳油木薰衣草身體乳,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480147473-4084567169.jpg,,,,,,
11257,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,60%巴黎乳油木果油,60% Melting Shea Butter,常溫下為固態膏狀。取適量於手上，先稍搓熱直到顆粒感消失，像奶油般的乳油木會瞬間融化，再輕按壓於肌膚至完全吸收。細緻不油膩，不造成肌膚負擔，薄薄一層，保濕效果就非常好。,,美體產品,"身體保養,","保濕,滋潤,",,"容量:20g:NT1080:RM0,","TW, MY",,N,60%巴黎乳油木果油,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480147656-106619976.jpg,,,,,,
11260,開架,Institut Karite Paris 巴黎乳油木,臉部保養系列,,巴黎乳油木抗皺精華眼霜,Shea Butter Essential Eye Countour Care,保濕、潤澤眼部肌膚，同時對抗眼部肌膚老化。,,保養品,"眼部保養,","保濕,滋潤,緊實,拉提,抗皺,修護,改善細紋,",,"容量:25g:NT2250:RM0,","TW, MY",,N,巴黎乳油木抗皺精華眼霜,2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1480147744-2929785853.jpg,,,,,,
11263,開架,Institut Karite Paris 巴黎乳油木,身體保養系列,,巴黎乳油木薰衣草沐浴乳,Extra-Gentle Shower Local Lavender,薰衣草香，沐浴時清潔同時舒緩肌膚。,,美體產品,"身體清潔,","深層清潔,保濕,滋潤,舒緩,",,"容量:500ml:NT1560:RM0,","TW, MY",,N,巴黎乳油木薰衣草沐浴乳,2016/11/26,,N,N,,N,https://pic.pimg.tw/styleme/1480147853-2629892933.jpg,,,,,,
11266,開架,Dr. Jart+,底妝系列,,極緻柔焦BB霜SPF35 PA++,Rejuvenating Beauty Balm BB Cream Silver Label Whitening SPF35 PA++,內含葡萄柚萃取物、秋葵、金盞花等保養成分，可以亮白、抗皺、保濕、抗老化。利用細緻滑順的粉質，達到完美遮瑕效果，讓肌膚像水煮蛋般柔滑透亮，卻不阻塞毛孔，長效持久不脫妝！,,彩妝品,"BB霜,","保濕,美白,抗老,修飾毛孔,長效持妝,",,"容量:50ml:NT990:RM0,","TW, MY",,N,"Dr. Jart+ 極緻柔焦BB霜,極緻柔焦BB霜",2016/11/26,,N,N,1,N,https://pic.pimg.tw/styleme/1488468309-3527088020.png,https://pic.pimg.tw/styleme/1481527039-1960354470.jpg,,,,,
